tax,0,/nix/store/xsldbq1qvk9s05ijr8ba375la78lbm0j-rust_tax-0.0.7
fastmod,1,
mhost,1,
clipivot,0,/nix/store/wywq2r0i8l30kaymz85iqlkg8ysx8p9d-rust_clipivot-0.3.4
dutree,0,/nix/store/ri1jsz3ajfif1dj85i1n7fqihg7h8jxq-rust_dutree-0.2.16
huniq,0,/nix/store/59cs2qjk7syb6kskj38km9yqql2p4sgd-rust_huniq-2.6.0
uu_od,1,
df_storyteller,1,
the-way,1,
verco,0,/nix/store/b17v299xn3255jdxq6654pvna51kdpzl-rust_verco-5.5.4
just,1,
odbc2parquet,1,
checkpwn,1,
keepass-diff,0,/nix/store/2h505gb5k9f7w6iq5c764vw2dj77byi6-rust_keepass-diff-1.1.0
rusty-krab-manager,1,
bacon,1,
tormov,0,/nix/store/a03z55cw39bf565rkw3ih27xrlq5rq1l-rust_tormov-0.3.1
zdump,0,/nix/store/0l1dn41lgjgflww9spm4z8fav0xpnzzd-rust_zdump-1.2.3
rpick,1,
sudo_pair,1,
ttdl,0,/nix/store/s3b3cr2n70dbxz3xy6n0wlzv50a6bmqc-rust_ttdl-2.0.0
juxr,0,/nix/store/qjjsqrg1p60w50pw5azjqmhp70y6bv5k-rust_juxr-0.1.22
ego,1,
short,1,
yaksay,0,/nix/store/sinsdahry3qf12jrj4p1h5wiafr9dn1w-rust_yaksay-1.5.8
counts,0,/nix/store/3sx7hnc1fwxxy853km1l5x0lidc3h57a-rust_counts-0.1.2
rmesg,0,/nix/store/hksvyv1965gzjgiaqvqzq4817bapjnf0-rust_rmesg-1.0.14
rualdi,0,/nix/store/blyh5gybm7lv4qs98qldg65nk2alaqrn-rust_rualdi-0.2.1
kondo,0,/nix/store/cfh5lmkbx4snz5bhvh851hxlqwmdr2ad-rust_kondo-0.4.0
termscp,1,
cargo-wipe,0,/nix/store/71yrgyyf3r4gmzhhj1k6dc70qng7hpp3-rust_cargo-wipe-0.3.1
foraget,0,/nix/store/m68rxb57jhxib0prg3mrpdz1bdmkbbjp-rust_foraget-0.1.2
hf2-cli,1,
uutils/uu_chgrp,1,
scout,1,
pargit,0,/nix/store/xzzraxn76614d6akhp12h887ll80hh72-rust_pargit-0.3.2
sn0int,1,
cec-alsa-sync,1,
jobrog,0,/nix/store/2d3ljizw8jxd9j99hb275xb13g3dbk50-rust_jobrog-1.0.1
add-remote,1,
lcov-util,0,/nix/store/g31xph59svc2xzbvr0bijdkgflnawav3-rust_lcov-util-0.1.5
fw,1,
hpk,0,/nix/store/hnalgxlbb7ab03l62yzbmfl3zgc3shgf-rust_hpk-0.3.8
upt,0,/nix/store/cn61m9cyvvlys3r163kx6ihjw0063lwz-rust_upt-0.3.0
rudolfs,1,
t-rec,1,
